;average_learning_complexity;average_strategy_complexity;average_user_rating;comment_count;discount;id;is_historical_low;listing_clicks;max_players;max_playtime;min_age;min_players;min_playtime;name;num_user_ratings;players;plays;playtime;price;price_au;price_ca;price_uk;visits;year_published;name_lower
94;0.0;0.0;0.0;0;0.00;eHhF3J21gl;False;0;6.0;180.0;8.0;2.0;120.0;Monopoly: Steven Universe;0;2-6;0;120-180;99.95;0.00;0.00;0.00;65;2000.0;monopoly: steven universe
95;0.0;0.0;3.0;0;0.00;ion059BkhY;False;0;4.0;45.0;8.0;2.0;8.0;Cacao: Big Market;1;2-4;4;8-45;3.99;0.00;0.00;0.00;65;2016.0;cacao: big market
96;0.0;0.0;0.0;0;0.00;J27Gm1E5I4;False;0;2.0;80.0;12.0;1.0;20.0;Caverna: Cave vs Cave – The Big Box;0;1-2;0;20-80;35.99;29.95;42.99;29.35;65;2021.0;caverna: cave vs cave – the big box
98;0.0;0.0;0.0;0;0.40;aZPS6HRhBm;False;0;4.0;120.0;18.0;2.0;60.0;Peaky Blinders: Under New Management;0;2-4;1;60-120;29.99;29.48;29.95;23.99;64;2019.0;peaky blinders: under new management
0;0.0;0.0;0.0;0;-0.04;NeelcDBfKM;False;0;6.0;180.0;8.0;2.0;120.0;Monopoly: Bob's Burgers;0;2-6;0;120-180;41.38;0.00;38.99;0.00;61;2017.0;monopoly: bob's burgers
1;0.0;0.0;0.0;0;0.00;Lfzweb8Nna;False;0;6.0;60.0;8.0;2.0;60.0;Monopoly: ESPN Ultimate Sports Fan;0;2-6;0;60;29.95;0.00;0.00;0.00;61;2006.0;monopoly: espn ultimate sports fan
2;0.0;0.0;0.0;0;-3.09;n9YABxYweB;False;0;6.0;120.0;8.0;2.0;30.0;Monopoly: Star Wars 40th Anniversary Special Edition;0;2-6;0;30-120;122.80;0.00;54.99;0.00;60;2017.0;monopoly: star wars 40th anniversary special edition
3;0.0;0.0;2.5;0;0.00;R33yfG3UsV;False;0;3.0;90.0;16.0;2.0;90.0;1800;2;2-3;3;90;0.00;0.00;0.00;0.00;59;2002.0;1800
4;0.0;0.0;0.0;0;0.00;6qiIEvvXcA;False;0;6.0;60.0;0.0;2.0;60.0;Monopoly: Littlest Pet Shop;0;2-6;0;60;159.95;0.00;0.00;0.00;59;2007.0;monopoly: littlest pet shop
5;0.0;0.0;0.0;0;0.00;Ly1cXcVOxq;True;0;6.0;90.0;8.0;2.0;90.0;Monopoly: Guardians of the Galaxy Vol. 2;0;2-6;0;90;0.00;0.00;0.00;0.00;59;2017.0;monopoly: guardians of the galaxy vol. 2
6;0.0;0.0;0.0;0;0.00;AZlnrKSaxj;False;0;6.0;60.0;8.0;2.0;60.0;Photo-opoly;0;2-6;0;60;0.00;0.00;0.00;0.00;59;2000.0;photo-opoly
7;0.0;0.0;0.0;0;0.00;fOz9E2sTdE;True;0;6.0;60.0;8.0;2.0;60.0;Monopoly: Powerpuff Girls;0;2-6;0;60;0.00;0.00;0.00;0.00;58;2001.0;monopoly: powerpuff girls
8;0.0;0.0;3.0;0;0.00;kmwJ6U4jSH;False;0;4.0;60.0;8.0;2.0;45.0;Monopoly Gamer: Sonic The Hedgehog;1;2-4;2;45-60;69.00;0.00;38.95;0.00;58;2019.0;monopoly gamer: sonic the hedgehog
9;0.0;0.0;0.0;0;-0.03;REmFfskFtB;False;0;;;;;;Monopoly Here & Now (Buzzfeed Edition);0;;0;;41.00;0.00;0.00;0.00;57;2015.0;monopoly here & now (buzzfeed edition)
10;0.0;0.0;2.0;0;0.00;CVWZ97AHg2;False;0;4.0;60.0;8.0;2.0;60.0;Monopoly Millionaire;2;2-4;3;60;0.00;0.00;0.00;0.00;57;2012.0;monopoly millionaire
